category;description;alpha_carotene;beta_carotene;beta_cryptoxanthin;carbohydrate;cholesterol;choline;fiber;lutein_and_zeaxanthin;lycopene;niacin;protein;retinol;riboflavin;selenium;sugar_total;thiamin;water;fat.monosaturated_fat;fat.polysaturated_fat;fat.saturated_fat;fat.total_lipid;major_minerals.calcium;major_minerals.copper;major_minerals.iron;major_minerals.magnesium;major_minerals.phosphorus;major_minerals.potassium;major_minerals.sodium;major_minerals.zinc;vitamins.vitamin_a_-_rae;vitamins.vitamin_b12;vitamins.vitamin_b6;vitamins.vitamin_c;vitamins.vitamin_e;vitamins.vitamin_k;calories
Bulgur;Bulgur, fat added;0.0;41.0;0.0;17.32;0.0;7.1;4.2;50.0;0.0;0.93;2.87;51.0;0.028;0.6;0.09;0.053;74.71;1.305;1.837;0.836;4.17;11.0;0.07;0.89;30.0;38.0;65.0;249.0;0.53;54.0;0.0;0.324;0.0;1.4;7.1;118.29
Bulgur;Bulgur, NS as to fat;0.0;1.0;0.0;18.48;0.0;6.9;4.5;54.0;0.0;0.994;3.06;0.0;0.028;0.6;0.1;0.057;77.33;0.031;0.097;0.042;0.24;10.0;0.075;0.96;32.0;40.0;68.0;219.0;0.57;0.0;0.0;0.083;0.0;0.01;0.5;88.32
Couscous;Couscous, plain, cooked;0.0;0.0;0.0;23.11;0.0;3.3;1.4;25.0;0.0;0.978;3.77;0.0;0.027;27.4;0.1;0.063;72.23;0.022;0.064;0.029;0.16;8.0;0.041;0.38;8.0;22.0;58.0;189.0;0.26;0.0;0.0;0.051;0.0;0.13;0.1;108.96
Whole wheat cereal;Whole wheat cereal, cooked, NS as to fat;0.0;7.0;0.0;10.21;3.0;3.5;1.3;28.0;0.0;0.599;1.53;15.0;0.037;9.6;0.06;0.044;85.86;0.511;0.395;0.803;1.86;9.0;0.069;0.44;18.0;49.0;51.0;84.0;0.37;16.0;0.0;0.072;0.0;0.36;1.3;63.7
Whole wheat cereal;Whole wheat cereal, cooked, no added fat;0.0;0.0;0.0;10.39;0.0;3.2;1.3;28.0;0.0;0.609;1.55;0.0;0.037;9.8;0.06;0.044;87.27;0.039;0.139;0.041;0.28;9.0;0.07;0.44;18.0;50.0;51.0;71.0;0.38;0.0;0.0;0.049;0.0;0.18;0.3;50.28
Whole wheat cereal;Whole wheat cereal, cooked, fat added;0.0;7.0;0.0;10.21;3.0;3.5;1.3;28.0;0.0;0.599;1.53;15.0;0.037;9.6;0.06;0.044;85.86;0.511;0.395;0.803;1.86;9.0;0.069;0.44;18.0;49.0;51.0;84.0;0.37;16.0;0.0;0.072;0.0;0.36;1.3;63.7
Wheat cereal;Wheat cereal, chocolate flavored, cooked;0.0;0.0;0.0;10.96;0.0;3.3;1.8;28.0;0.0;0.625;1.79;0.0;0.04;9.7;0.08;0.044;85.52;0.104;0.142;0.156;0.47;11.0;0.123;0.63;25.0;59.0;72.0;337.0;0.47;0.0;0.0;0.049;0.0;0.18;0.4;55.23
Oat bran cereal;Oat bran cereal, cooked, no added fat;0.0;0.0;0.0;12.28;0.0;6.0;2.9;30.0;0.0;0.156;3.21;0.0;0.037;8.4;0.27;0.174;82.4;0.441;0.513;0.246;1.3;14.0;0.081;0.95;45.0;129.0;100.0;69.0;0.59;0.0;0.0;0.028;0.0;0.19;0.6;73.66
Oat bran cereal;Oat bran cereal, cooked, fat added;0.0;7.0;0.0;12.08;3.0;6.2;2.8;30.0;0.0;0.154;3.17;14.0;0.037;8.3;0.26;0.171;81.14;0.885;0.751;0.971;2.79;14.0;0.08;0.94;44.0;128.0;99.0;81.0;0.58;15.0;0.0;0.05;0.0;0.36;1.5;86.11
Oat bran cereal;Oat bran cereal, cooked, NS as to fat;0.0;7.0;0.0;12.08;3.0;6.2;2.8;30.0;0.0;0.154;3.17;14.0;0.037;8.3;0.26;0.171;81.14;0.885;0.751;0.971;2.79;14.0;0.08;0.94;44.0;128.0;99.0;81.0;0.58;15.0;0.0;0.05;0.0;0.36;1.5;86.11
Cream of rye;Cream of rye;0.0;0.0;0.0;8.86;0.0;2.4;1.4;22.0;0.0;0.183;1.28;0.0;0.012;1.7;0.13;0.027;89.1;0.022;0.082;0.021;0.18;6.0;0.045;0.28;8.0;25.0;43.0;139.0;0.26;0.0;0.0;0.028;0.0;0.17;0.7;42.18
Cereal;Cereal, nestum;0.0;0.0;0.0;11.36;0.0;6.8;1.7;27.0;0.0;0.17;2.21;0.0;0.023;4.8;0.17;0.062;84.77;0.332;0.386;0.186;1.09;12.0;0.072;0.68;24.0;65.0;58.0;70.0;0.62;0.0;0.0;0.015;0.0;0.07;0.3;64.09
Cereal;Cereal, oat, NFS;0.0;0.0;0.0;73.2;0.0;26.2;10.1;159.0;0.0;17.9;12.4;990.0;0.1;24.9;4.5;1.3;3.76;2.3;2.4;1.6;6.6;357.0;0.387;28.9;114.0;357.0;633.0;497.0;13.4;990.0;6.77;1.79;21.4;0.41;2.0;401.8
Cereal;Cereal, ready-to-eat, NFS;1.0;6.0;10.0;79.47;0.0;18.2;7.1;250.0;0.0;21.567;9.05;799.0;1.126;16.4;22.17;1.667;3.55;1.373;1.486;0.938;4.81;292.0;0.246;25.44;79.0;269.0;416.0;514.0;11.41;800.0;7.36;2.403;22.1;0.35;1.7;397.37
Cereal (Kellogg's All-Bran);Cereal (Kellogg's All-Bran);0.0;4.0;0.0;74.24;0.0;49.4;29.3;192.0;0.0;14.8;13.14;522.0;2.71;9.4;15.69;2.27;2.12;0.89;2.0;1.1;4.9;389.0;1.04;17.6;362.0;1150.0;1020.0;258.0;12.4;522.0;18.8;12.0;20.0;1.19;5.2;393.62
Cereal (Post Alpha-Bits);Cereal (Post Alpha-Bits);11.0;16.0;0.0;80.3;0.0;25.6;7.1;334.0;0.0;16.7;10.0;739.0;1.4;20.9;21.0;1.3;1.2;1.5;1.8;1.1;4.6;35.0;0.3;30.0;99.0;309.0;267.0;592.0;5.0;741.0;5.0;1.7;20.0;0.31;1.4;402.6
Cereal (General Mills Cheerios Apple Cinnamon);Cereal (General Mills Cheerios Apple Cinnamon);0.0;3.0;2.0;79.9;0.0;17.7;7.3;104.0;0.0;16.7;8.3;498.0;1.39;18.8;34.2;1.29;2.29;2.79;1.89;1.1;6.09;333.0;0.251;15.0;80.0;267.0;248.0;390.0;12.5;498.0;5.0;1.66;20.0;0.68;3.1;407.61
